carMake,carModel,carModelYear
Nissan,Nissan,2010
Audi,Ford,2007
Pontiac,Mitsubishi,2010
Volkswagen,Ford,2008
Mercury,Scion,1993
Subaru,Ford,2010
Volvo,GMC,1994
Pontiac,Chevrolet,2005
Mitsubishi,Dodge,1986
Chevrolet,Volkswagen,1996
Saturn,Infiniti,2003
Ford,Mercedes-Benz,2005
Ford,Porsche,1997
Ford,Lexus,2003
Lincoln,Chevrolet,1991
Ford,Mercedes-Benz,1997
Volkswagen,Nissan,2000
Ford,BMW,1984
Ford,Jaguar,1984
Oldsmobile,Nissan,1996
Dodge,Acura,2007
Mazda,Mazda,1988
Porsche,Lamborghini,1987
Cadillac,Dodge,2007
Cadillac,Ford,1997
Mercury,GMC,1995
Audi,GMC,2004
Jaguar,Lamborghini,2005
Audi,Nissan,2011
Jaguar,Ford,2003
BMW,BMW,2007
Maybach,GMC,2010
Mercury,Dodge,2004
Pontiac,Honda,1986
Volvo,Mercedes-Benz,2004
Ford,Rolls-Royce,1992
Mazda,Nissan,2010
Chevrolet,Chevrolet,2007
Hyundai,Subaru,2012
Chevrolet,GMC,2007
Cadillac,Subaru,2007
Ford,Chevrolet,2006
Nissan,Mitsubishi,2010
Honda,Cadillac,2012
Mercury,Mercedes-Benz,1984
Mitsubishi,Toyota,1992
Nissan,Acura,2008
Chevrolet,Chrysler,2005
Mitsubishi,Mitsubishi,2001
Ford,Pontiac,1992
Chevrolet,Oldsmobile,1993
Audi,BMW,1987
Ford,Toyota,1994
Oldsmobile,Toyota,1992
Chevrolet,Ford,1993
GMC,Ford,2005
Honda,Hyundai,1994
Maybach,Volvo,2005
Chrysler,Lincoln,1995
Land Rover,Mercedes-Benz,2005
Toyota,Nissan,2005
Mercedes-Benz,Honda,2004
Toyota,Ford,2002
Chevrolet,Lotus,2002
GMC,Dodge,1999
Dodge,Toyota,2010
Kia,Ford,2008
Infiniti,Nissan,2005
Ford,Chevrolet,1992
Mercedes-Benz,Nissan,2011
Pontiac,Jeep,2008
Toyota,Volkswagen,2001
Mercury,Mitsubishi,1996
Mercedes-Benz,Hyundai,1994
Dodge,Pontiac,2002
Ford,Mazda,1989
Volvo,Porsche,2006
Toyota,Suzuki,2003
Honda,Ford,2008
Maserati,Pontiac,2011
Volvo,Porsche,2002
Honda,Land Rover,1985
Suzuki,Hyundai,1991
Subaru,Mitsubishi,1998
Ford,Mitsubishi,2009
BMW,Kia,2010
Chevrolet,Saab,2012
Mazda,Volkswagen,1997
Ford,Volvo,1966
Chevrolet,Volkswagen,1999
Isuzu,Mercury,1998
Dodge,Ford,2006
Cadillac,Ford,1999
Kia,Toyota,2007
Mitsubishi,Pontiac,2003
Mazda,Mercury,1999
Maybach,Buick,2010
Acura,Audi,1996
Jaguar,Toyota,2011
Cadillac,Toyota,2006
Volvo,Subaru,2008
Chevrolet,Ford,2001
Chrysler,Toyota,2005
Subaru,Lexus,2010
Toyota,Lexus,1994
Lincoln,Chrysler,2006
Suzuki,Mercedes-Benz,2010
Mercedes-Benz,Chevrolet,2011
Buick,BMW,2005
Nissan,Nissan,1995
Dodge,Mercury,2003
Volkswagen,Pontiac,1998
Dodge,Lexus,1992
Mercedes-Benz,Lexus,2004
GMC,Land Rover,2002
Dodge,Mazda,1994
Mercedes-Benz,Acura,2002
Dodge,Chevrolet,1998
Pontiac,Buick,1962
Hyundai,BMW,2009
Mercedes-Benz,Bentley,1992
Oldsmobile,Infiniti,1993
Mitsubishi,GMC,1987
Shelby,Chevrolet,1969
Nissan,Cadillac,2003
Honda,Audi,2010
BMW,Plymouth,2006
Aston Martin,Mercury,2006
Volvo,Volkswagen,2011
Mitsubishi,Chevrolet,2006
Pontiac,Morgan,1999
Pontiac,Saab,1964
Chevrolet,Volkswagen,2002
Buick,Volvo,1999
Ford,Chevrolet,1998
Mazda,Dodge,1985
Mercedes-Benz,Saturn,1996
Lotus,Audi,2011
Cadillac,Bentley,2007
Volvo,Toyota,2008
Ford,Volvo,2012
Chrysler,BMW,1996
BMW,Mercedes-Benz,2004
